column_name,mean,std_dev,min,max,missing_count
Air Temperature,12.603691220177511,10.444628152563876,-29.78,37.6,75
Wet Bulb Temperature,10.259566451441565,9.411106368132625,-28.9,28.4,76077
Humidity,68.02024713716672,15.628113045559155,0.0,100.0,0
Rain Intensity,0.1588427639550517,1.793117130854902,0.0,183.6,76077
Interval Rain,0.1422326284141608,1.09624906097803,-0.9,63.42,0
Total Rain,141.3994829618072,190.37584286125602,0.0,1056.1,76077
Precipitation Type,4.2703786080634725,15.595159052648981,0.0,70.0,76077
Wind Direction,140.74468767010393,122.03123493866954,0.0,359.0,0
Wind Speed,2.918791683412101,5.338544688923979,0.0,999.9,0
Maximum Wind Speed,3.5552746844651546,5.952225896612021,0.0,999.9,0
Barometric Pressure,994.3170171821307,10.025749049655811,0.0,3098.5,146
Solar Radiation,112.25466625290608,842.2636152327444,-100000.0,1277.0,0
Heading,282.04663302737066,142.71687957471536,0.0,359.0,76077
Battery Life,13.163708278433745,1.5446742571670353,0.0,15.3,0
